,count,mean,std,min,25%,50%,75%,max
Diabetes_binary,253680.0,0.13933301797540207,0.34629438458921347,0.0,0.0,0.0,0.0,1.0
HighBP,253680.0,0.4290011037527594,0.4949344626899013,0.0,0.0,0.0,1.0,1.0
HighChol,253680.0,0.4241209397666351,0.49420980465688485,0.0,0.0,0.0,1.0,1.0
CholCheck,253680.0,0.9626695048880479,0.1895707543627255,0.0,1.0,1.0,1.0,1.0
BMI,253680.0,28.382363607694735,6.608694201406008,12.0,24.0,27.0,31.0,98.0
Smoker,253680.0,0.44316855881425415,0.49676066677856323,0.0,0.0,0.0,1.0,1.0
Stroke,253680.0,0.04057079785556607,0.19729409940016232,0.0,0.0,0.0,0.0,1.0
HeartDiseaseorAttack,253680.0,0.09418558814254178,0.29208731475075544,0.0,0.0,0.0,0.0,1.0
PhysActivity,253680.0,0.7565436770734784,0.42916904339704554,0.0,1.0,1.0,1.0,1.0
Fruits,253680.0,0.6342557552822453,0.48163918717043347,0.0,0.0,1.0,1.0,1.0
Veggies,253680.0,0.811419899085462,0.3911754716844908,0.0,1.0,1.0,1.0,1.0
HvyAlcoholConsump,253680.0,0.05619678334910123,0.2303017888952292,0.0,0.0,0.0,0.0,1.0
AnyHealthcare,253680.0,0.9510525070955534,0.2157587063107391,0.0,1.0,1.0,1.0,1.0
NoDocbcCost,253680.0,0.08417691579943236,0.277653500857625,0.0,0.0,0.0,0.0,1.0
GenHlth,253680.0,2.5113923052664773,1.0684773622803934,1.0,2.0,2.0,3.0,5.0
MentHlth,253680.0,3.1847721538946705,7.412846696196173,0.0,0.0,0.0,2.0,30.0
PhysHlth,253680.0,4.2420805739514345,8.717951307175127,0.0,0.0,0.0,3.0,30.0
DiffWalk,253680.0,0.16822374645222327,0.374065594732803,0.0,0.0,0.0,0.0,1.0
Sex,253680.0,0.4403421633554084,0.4964291631185051,0.0,0.0,0.0,1.0,1.0
Age,253680.0,8.032119205298013,3.0542204341684838,1.0,6.0,8.0,10.0,13.0
Education,253680.0,5.050433617155472,0.9857741757276509,1.0,4.0,5.0,6.0,6.0
Income,253680.0,6.053874960580258,2.0711475662715184,1.0,5.0,7.0,8.0,8.0
